Initiatives,project1,project2,project3,project4,project5,project6
"Initiative Priority - 1-5, higher is more important",5,5,4,3,3,1
"Timeline Score - quarter to be delivered in 1-5, higher means closer (5 = this quarter, 4 = next quarter, etc)",5,2,3,1,5,1
Hassle Score (1-5) - estimate complexity for implementation - higher means more hassle,5,3,5,,5,3
,,,,,,
"individual scores for how relevant or complex each project is for each client. 9 means non relevant, 1-5 - 5 means complex config for this client or that this client is very important",,,,,,
client1,3,4,2,1,5,5
client2,0,2,3,2,4,2
client3,0,3,0,0,3,3
client4,5,1,2,0,4,2
client5,4,0,4,0,3,5
client6,3,3,5,0,4,4
client7,1,2,3,3,3,3
client8,0,5,3,4,2,2
client9,4,1,2,5,2,5
